tweet_id,user,user_id,created_at,text,geo,coordinates,scraped_at
176404319787171840,karenballcabot,47425301,"2012-03-04 20:30:41+00:00","Attention Santorum: 99 Percent of Republicans Expect Their Kids to Go to College http://t.co/sOrfPJO5 (@GOOD stuff)",None,null,"2012-03-06 01:20:04.098381"
176404776966307841,ashewhole,393710905,"2012-03-04 20:32:30+00:00","RT @Youxia88: I tweet for Newt #Gingrich #MyVoteFactor http://t.co/ZDkiArR0 Tweet Your Vote: 2012 Republican Primaries @newtgingrich",None,null,"2012-03-06 01:20:10.750985"
176405969964777472,fairy_aware,378833308,"2012-03-04 20:37:15+00:00","RT @melindacoxhall: @rdanspaugh Ron, #Military #Vets & #Troops need more support #MustFollow @fairy_aware Wife of @Comd_RCN ViceAdmiral Paul Maddison #SOT #PTSD",None,null,"2012-03-06 22:20:05.351198"
176408627798745089,panthersonny43,244097711,"2012-03-04 20:47:49+00:00","@BoldGlory: Here is Newt talking job creation to the Ohio panel last nite.  Myth was talking lemonade stands.  #tcot  http://t.co/fwvFH5ks",None,null,"2012-03-06 01:20:10.750200"
176412460394348544,betbooo,272558067,"2012-03-04 21:03:02+00:00","RT @barrybj711: 'Team Newt' If U Miss Newt On C-SPAN This Morning http://t.co/hqDrHqzK Join 'Team Newt' Bold #250Gas, #NewtJobs & #NewtLowerTaxes &lt;Go Viral&g",None,null,"2012-03-06 01:20:10.748752"
176413277906145282,TheRealModerate,514749390,"2012-03-04 21:06:17+00:00","RT @JimMerrillNH: On delegates, Santorum once more spinning their utter organizational ineptitude as another establishment conspiracy. http://t.co/7WeXI068",None,null,"2012-03-06 01:20:04.097597"
176413808091336705,JoyDVicious,14358876,"2012-03-04 21:08:24+00:00","There's a girl running around Germantown parkway with a giant cutout of Ron Paul's face.",None,null,"2012-03-06 22:20:05.350381"
176426967179079680,heatherryan1,90514262,"2012-03-04 22:00:41+00:00","Sitting in church and @alyssaa1223 points out a man that looks like Newt Gingrich","{u'type': u'Point', u'coordinates': [43.1348,","[43.1348, -70.9246]","2012-03-06 17:30:08.862097"
176428511924461568,Pnthrgrlgail,32272710,"2012-03-04 22:06:49+00:00","But he didn't. RT @washingtonpost Gingrich says Limbaugh was right to apologize to Sandra Fluke http://t.co/rYGBJRlJ",None,null,"2012-03-06 01:20:10.747980"
176432438808027139,NHTeaParties,55066811,"2012-03-04 22:22:26+00:00","Tea Partiers who now embrace Santorum should stop pretending they're any sort of independent, anti-estab movement. They belong to the GOP.",None,null,"2012-03-06 01:20:04.096652"
